fold,horizon_minutes,model,station_id,wape,accuracy,mae,rmse
1,15,baseline_daily,02300,0.2992553466515945,70.07446533484055,87.84970238095238,142.84590952858125
1,15,baseline_daily,03000,0.16665320859624635,83.33467914037537,42.99702380952381,66.90854187762932
1,15,baseline_daily,05000,0.18024399499273772,81.97560050072623,61.49404761904762,100.02748134292656
1,15,baseline_daily,05100,0.17315210990671778,82.68478900932821,101.95386904761905,145.37119462324878
1,15,baseline_daily,06000,0.18129364611713641,81.87063538828636,92.48511904761905,134.3077821912895
1,15,baseline_daily,06111,0.3047736605093724,69.52263394906277,73.11755952380952,109.51975115410528
1,15,baseline_daily,07105,0.22801423739696985,77.19857626030301,61.29613095238095,106.8084831992915
1,15,baseline_daily,07107,0.28981364556199574,71.01863544380042,81.6235119047619,120.90164120159038
1,15,baseline_daily,07111,0.16019239578561612,83.98076042143839,109.28125,164.9658108518247
1,15,baseline_daily,09000,0.17859274127922747,82.14072587207725,39.19047619047619,64.10001950077707
1,15,baseline_daily,09122,0.2761772903428637,72.38227096571363,67.97619047619048,112.49533059092677
1,15,baseline_daily,10009,0.2323586832125306,76.76413167874693,77.04315476190476,125.34058956641756
1,15,baseline_last,02300,0.19943428649637812,80.05657135036219,58.54613095238095,92.56763132460297
1,15,baseline_last,03000,0.17041954573244586,82.9580454267554,43.96875,65.43413855240426
1,15,baseline_last,05000,0.18664700981824683,81.3352990181753,63.67857142857143,104.18811683909155
1,15,baseline_last,05100,0.16955577851855408,83.04442214814459,99.83630952380952,145.09039669904317
1,15,baseline_last,06000,0.17511828571761948,82.48817142823806,89.33482142857143,131.82406768655173
1,15,baseline_last,06111,0.17450284707662916,82.54971529233708,41.864583333333336,59.187718421178914
1,15,baseline_last,07105,0.16639265766588615,83.36073423341138,44.73065476190476,72.34467145612895
1,15,baseline_last,07107,0.1580604766911652,84.19395233088348,44.51636904761905,65.25249721548704
1,15,baseline_last,07111,0.16421263878891,83.578736121109,112.02380952380952,165.47437220652284
1,15,baseline_last,09000,0.19362013779634352,80.63798622036565,42.48809523809524,67.14928730607858
1,15,baseline_last,09122,0.17253825551236088,82.74617444876391,42.467261904761905,66.42349250937394
1,15,baseline_last,10009,0.1841931647330745,81.58068352669254,61.072916666666664,95.95830102557197
1,15,baseline_weekly,02300,0.16372235430089266,83.62776456991074,48.0625,74.94744190176905
1,15,baseline_weekly,03000,0.15481202920785797,84.51879707921421,39.941964285714285,60.0660722514323
1,15,baseline_weekly,05000,0.15836557376334143,84.16344262366586,54.029761904761905,86.23835325090903
1,15,baseline_weekly,05100,0.1488598138399367,85.11401861600632,87.65029761904762,133.86365331400242
1,15,baseline_weekly,06000,0.15828116704685338,84.17188329531467,80.74553571428571,117.83695985191937
1,15,baseline_weekly,06111,0.16396432160180624,83.60356783981938,39.336309523809526,56.249973544967325
1,15,baseline_weekly,07105,0.1806411257064727,81.93588742935273,48.561011904761905,80.59364008052107
1,15,baseline_weekly,07107,0.16564780226457362,83.43521977354264,46.65327380952381,68.2647703361523
1,15,baseline_weekly,07111,0.15514909582706193,84.4850904172938,105.84077380952381,162.02308679556103
1,15,baseline_weekly,09000,0.16395187978082787,83.60481202191721,35.97767857142857,58.490371104180575
1,15,baseline_weekly,09122,0.160385971064262,83.9614028935738,39.476190476190474,61.141595030364904
1,15,baseline_weekly,10009,0.187222583757826,81.2777416242174,62.07738095238095,99.94059247277616
1,15,gradient_boosting,02300,0.15398232702283823,84.60176729771618,45.20320773627435,70.4626065733414
1,15,gradient_boosting,03000,0.12151028343894099,87.8489716561059,31.35001476499511,46.849404190049924
1,15,gradient_boosting,05000,0.13333848113323263,86.66615188667673,45.49124040769768,75.29378815508005
1,15,gradient_boosting,05100,0.12365117362544592,87.6348826374554,72.80717266561021,107.78873967171232
1,15,gradient_boosting,06000,0.1254247969003237,87.45752030996763,63.9841909592077,91.35444140278493
1,15,gradient_boosting,06111,0.14252803629485777,85.74719637051422,34.193578802655324,48.65346851788759
1,15,gradient_boosting,07105,0.14868248059321754,85.13175194067824,39.96970059768652,64.51292409687807
1,15,gradient_boosting,07107,0.13233993140513747,86.76600685948625,37.27239946061091,54.006549697650364
1,15,gradient_boosting,07111,0.1163259947206044,88.36740052793957,79.35613952346232,115.92132635984348
1,15,gradient_boosting,09000,0.1329868917712866,86.70131082287133,29.182706857382453,45.50631769139814
1,15,gradient_boosting,09122,0.13816862659495094,86.18313734050491,34.00778126105875,52.214327946206225
1,15,gradient_boosting,10009,0.1585781625035577,84.14218374964423,52.57975190212828,79.02149627330881
1,30,baseline_daily,02300,0.2992553466515945,70.07446533484055,87.84970238095238,142.84590952858125
1,30,baseline_daily,03000,0.16665320859624635,83.33467914037537,42.99702380952381,66.90854187762932
1,30,baseline_daily,05000,0.18024399499273772,81.97560050072623,61.49404761904762,100.02748134292656
1,30,baseline_daily,05100,0.17315210990671778,82.68478900932821,101.95386904761905,145.37119462324878
1,30,baseline_daily,06000,0.18129364611713641,81.87063538828636,92.48511904761905,134.3077821912895
1,30,baseline_daily,06111,0.3047736605093724,69.52263394906277,73.11755952380952,109.51975115410528
1,30,baseline_daily,07105,0.22801423739696985,77.19857626030301,61.29613095238095,106.8084831992915
1,30,baseline_daily,07107,0.28981364556199574,71.01863544380042,81.6235119047619,120.90164120159038
1,30,baseline_daily,07111,0.16019239578561612,83.98076042143839,109.28125,164.9658108518247
1,30,baseline_daily,09000,0.17859274127922747,82.14072587207725,39.19047619047619,64.10001950077707
1,30,baseline_daily,09122,0.2761772903428637,72.38227096571363,67.97619047619048,112.49533059092677
1,30,baseline_daily,10009,0.2323586832125306,76.76413167874693,77.04315476190476,125.34058956641756
1,30,baseline_last,02300,0.2570954971029994,74.29045028970006,75.47321428571429,119.74510378697069
1,30,baseline_last,03000,0.23336294108825803,76.66370589117419,60.208333333333336,92.09982614636402
1,30,baseline_last,05000,0.2562252744616539,74.37747255383461,87.41666666666667,138.87355074036992
1,30,baseline_last,05100,0.21079607057200117,78.9203929427999,124.11904761904762,175.20762343438088
1,30,baseline_last,06000,0.2115199495936572,78.84800504063428,107.9047619047619,153.6113776943064
1,30,baseline_last,06111,0.18458856951457034,81.54114304854296,44.28422619047619,62.93414689370227
1,30,baseline_last,07105,0.2033146785791388,79.66853214208612,54.65625,84.66289068726516
1,30,baseline_last,07107,0.17371594025245293,82.6284059747547,48.92559523809524,69.1263077892305
1,30,baseline_last,07111,0.20852038479157123,79.14796152084288,142.25,207.5376543574454
1,30,baseline_last,09000,0.24515814029186783,75.48418597081321,53.79761904761905,84.33119233118906
1,30,baseline_last,09122,0.24939389725576025,75.06061027442398,61.38392857142857,94.27467467837948
1,30,baseline_last,10009,0.208240019747324,79.1759980252676,69.04613095238095,106.89491251424724
1,30,baseline_weekly,02300,0.16372235430089266,83.62776456991074,48.0625,74.94744190176905
1,30,baseline_weekly,03000,0.15481202920785797,84.51879707921421,39.941964285714285,60.0660722514323
1,30,baseline_weekly,05000,0.15836557376334143,84.16344262366586,54.029761904761905,86.23835325090903
1,30,baseline_weekly,05100,0.1488598138399367,85.11401861600632,87.65029761904762,133.86365331400242
1,30,baseline_weekly,06000,0.15828116704685338,84.17188329531467,80.74553571428571,117.83695985191937
1,30,baseline_weekly,06111,0.16396432160180624,83.60356783981938,39.336309523809526,56.249973544967325
1,30,baseline_weekly,07105,0.1806411257064727,81.93588742935273,48.561011904761905,80.59364008052107
1,30,baseline_weekly,07107,0.16564780226457362,83.43521977354264,46.65327380952381,68.2647703361523
1,30,baseline_weekly,07111,0.15514909582706193,84.4850904172938,105.84077380952381,162.02308679556103
1,30,baseline_weekly,09000,0.16395187978082787,83.60481202191721,35.97767857142857,58.490371104180575
1,30,baseline_weekly,09122,0.160385971064262,83.9614028935738,39.476190476190474,61.141595030364904
1,30,baseline_weekly,10009,0.187222583757826,81.2777416242174,62.07738095238095,99.94059247277616
1,30,gradient_boosting,02300,0.16288048581808165,83.71195141819183,47.81536023629527,74.36664809426787
1,30,gradient_boosting,03000,0.12377466334148114,87.62253366585189,31.934231519076363,48.921330494783554
1,30,gradient_boosting,05000,0.14204385703161299,85.7956142968387,48.461263348313715,77.94317828108363
1,30,gradient_boosting,05100,0.12914158211711474,87.08584178828853,76.03998564536023,113.01659810417334
1,30,gradient_boosting,06000,0.13045150703756228,86.95484929624378,66.54851627020071,97.21945610540325
1,30,gradient_boosting,06111,0.15128758581732973,84.87124141826703,36.2950625153248,50.84246459072084
1,30,gradient_boosting,07105,0.14926405125267994,85.07359487473201,40.12604184947602,66.33138441217767
1,30,gradient_boosting,07107,0.13588053310574527,86.41194668942546,38.26957937082242,56.10288435470809
1,30,gradient_boosting,07111,0.11512901629052757,88.48709837094724,78.53957580069428,118.43108058278176
1,30,gradient_boosting,09000,0.14236732789112977,85.76326721088702,31.24115422639518,48.94446639092419
1,30,gradient_boosting,09122,0.14398646360127984,85.60135363987202,35.43973968171918,55.264174815992256
1,30,gradient_boosting,10009,0.15911664169101644,84.08833583089836,52.75829541426165,81.12923433872321
1,45,baseline_daily,02300,0.2992553466515945,70.07446533484055,87.84970238095238,142.84590952858125
1,45,baseline_daily,03000,0.16665320859624635,83.33467914037537,42.99702380952381,66.90854187762932
1,45,baseline_daily,05000,0.18024399499273772,81.97560050072623,61.49404761904762,100.02748134292656
1,45,baseline_daily,05100,0.17315210990671778,82.68478900932821,101.95386904761905,145.37119462324878
1,45,baseline_daily,06000,0.18129364611713641,81.87063538828636,92.48511904761905,134.3077821912895
1,45,baseline_daily,06111,0.3047736605093724,69.52263394906277,73.11755952380952,109.51975115410528
1,45,baseline_daily,07105,0.22801423739696985,77.19857626030301,61.29613095238095,106.8084831992915
1,45,baseline_daily,07107,0.28981364556199574,71.01863544380042,81.6235119047619,120.90164120159038
1,45,baseline_daily,07111,0.16019239578561612,83.98076042143839,109.28125,164.9658108518247
1,45,baseline_daily,09000,0.17859274127922747,82.14072587207725,39.19047619047619,64.10001950077707
1,45,baseline_daily,09122,0.2761772903428637,72.38227096571363,67.97619047619048,112.49533059092677
1,45,baseline_daily,10009,0.2323586832125306,76.76413167874693,77.04315476190476,125.34058956641756
1,45,baseline_last,02300,0.34328063140926535,65.67193685907347,100.77380952380952,154.53826194428973
1,45,baseline_last,03000,0.3111871171659611,68.88128828340389,80.28720238095238,121.67264947781972
1,45,baseline_last,05000,0.33033973489424995,66.966026510575,112.70238095238095,174.84058215033107
1,45,baseline_last,05100,0.26475367783643894,73.5246322163561,155.88988095238096,222.90279885657614
1,45,baseline_last,06000,0.2706919787406582,72.93080212593418,138.0907738095238,196.2040020403933
1,45,baseline_last,06111,0.2148395340470667,78.51604659529333,51.541666666666664,72.0756464384733
1,45,baseline_last,07105,0.2384930058510609,76.15069941489391,64.11309523809524,98.31145842241817
1,45,baseline_last,07107,0.2058194153109694,79.41805846890307,57.967261904761905,80.34921918606007
1,45,baseline_last,07111,0.27045786706803654,72.95421329319635,184.5029761904762,262.69706888353363
1,45,baseline_last,09000,0.32993815439700536,67.00618456029946,72.40178571428571,112.43285033002292
1,45,baseline_last,09122,0.3322289466206371,66.77710533793628,81.77232142857143,122.81679760443815
1,45,baseline_last,10009,0.24256445930480444,75.74355406951956,80.42708333333333,122.7353121364756
1,45,baseline_weekly,02300,0.16372235430089266,83.62776456991074,48.0625,74.94744190176905
1,45,baseline_weekly,03000,0.15481202920785797,84.51879707921421,39.941964285714285,60.0660722514323
1,45,baseline_weekly,05000,0.15836557376334143,84.16344262366586,54.029761904761905,86.23835325090903
1,45,baseline_weekly,05100,0.1488598138399367,85.11401861600632,87.65029761904762,133.86365331400242
1,45,baseline_weekly,06000,0.15828116704685338,84.17188329531467,80.74553571428571,117.83695985191937
1,45,baseline_weekly,06111,0.16396432160180624,83.60356783981938,39.336309523809526,56.249973544967325
1,45,baseline_weekly,07105,0.1806411257064727,81.93588742935273,48.561011904761905,80.59364008052107
1,45,baseline_weekly,07107,0.16564780226457362,83.43521977354264,46.65327380952381,68.2647703361523
1,45,baseline_weekly,07111,0.15514909582706193,84.4850904172938,105.84077380952381,162.02308679556103
1,45,baseline_weekly,09000,0.16395187978082787,83.60481202191721,35.97767857142857,58.490371104180575
1,45,baseline_weekly,09122,0.160385971064262,83.9614028935738,39.476190476190474,61.141595030364904
1,45,baseline_weekly,10009,0.187222583757826,81.2777416242174,62.07738095238095,99.94059247277616
1,45,gradient_boosting,02300,0.16817107513747975,83.18289248625203,49.3684709904703,76.91757511125058
1,45,gradient_boosting,03000,0.13507801124073643,86.49219887592636,34.8505289180006,53.45326662596599
1,45,gradient_boosting,05000,0.14529217910622136,85.47078208937786,49.56949706420543,81.28198012602056
1,45,gradient_boosting,05100,0.12902311599827587,87.09768840017242,75.9702314900503,111.25692474326067
1,45,gradient_boosting,06000,0.1323272019179468,86.76727980820532,67.50538303318305,96.69013079790115
1,45,gradient_boosting,06111,0.1512719607882936,84.87280392117064,36.291313949951075,52.2273138274967
1,45,gradient_boosting,07105,0.14884607325821253,85.11539267417875,40.01367854191868,65.68505891247023
1,45,gradient_boosting,07107,0.14380544243177237,85.61945575682276,40.50156168298294,59.44057710974365
1,45,gradient_boosting,07111,0.1168364709106354,88.31635290893645,79.70437999934909,114.68796761183961
1,45,gradient_boosting,09000,0.14024881631496208,85.97511836850379,30.776267037305907,47.23997448906857
1,45,gradient_boosting,09122,0.1454134515153877,85.45865484846122,35.790967699548574,54.70599818330753
1,45,gradient_boosting,10009,0.16074668602157877,83.92533139784213,53.29876911591975,82.23666544112565
1,60,baseline_daily,02300,0.2992553466515945,70.07446533484055,87.84970238095238,142.84590952858125
1,60,baseline_daily,03000,0.16665320859624635,83.33467914037537,42.99702380952381,66.90854187762932
1,60,baseline_daily,05000,0.18024399499273772,81.97560050072623,61.49404761904762,100.02748134292656
1,60,baseline_daily,05100,0.17315210990671778,82.68478900932821,101.95386904761905,145.37119462324878
1,60,baseline_daily,06000,0.18129364611713641,81.87063538828636,92.48511904761905,134.3077821912895
1,60,baseline_daily,06111,0.3047736605093724,69.52263394906277,73.11755952380952,109.51975115410528
